cert_no,regn_number,valid_upto,tested_at,emission_norm
PUC-2026-450,MH12EF0299,2026-08-11,North Delhi Testing,BS-IV
PUC-2026-451,DL05GH0116,2026-07-30,Gurugram Auto Hub,BS-VI
PUC-2026-452,DL05GH0582,2026-07-07,Gurugram Auto Hub,BS-VI
PUC-2026-453,UP16EF0494,2026-11-24,Noida Inspection Point,BS-VI
PUC-2026-454,HR26EF0291,2027-06-05,North Delhi Testing,BS-VI
PUC-2026-455,HR26AB0115,2026-08-11,Gurugram Auto Hub,BS-VI
PUC-2026-456,UP16GH0544,2027-03-20,North Delhi Testing,BS-VI
PUC-2026-457,MH12EF0153,2027-06-20,South Delhi Center,BS-IV
PUC-2026-458,DL05AB0404,2026-08-05,Gurugram Auto Hub,BS-IV
PUC-2026-459,HR26GH0345,2026-11-19,North Delhi Testing,BS-IV
PUC-2026-460,HR26AB0394,2027-01-13,Gurugram Auto Hub,BS-IV
PUC-2026-461,HR26IJ0236,2027-03-12,Gurugram Auto Hub,BS-IV
PUC-2026-462,DL01GH0240,2026-06-21,North Delhi Testing,BS-IV
PUC-2026-463,UP16CD0223,2027-06-20,Noida Inspection Point,BS-VI
PUC-2026-464,DL05GH0206,2026-08-11,North Delhi Testing,BS-IV
PUC-2026-465,MH12EF0452,2027-03-21,North Delhi Testing,BS-VI
PUC-2026-466,DL05EF0048,2027-05-08,Noida Inspection Point,BS-IV
PUC-2026-467,UP16IJ0490,2027-04-29,Noida Inspection Point,BS-VI
PUC-2026-468,MH12IJ0109,2026-07-02,Gurugram Auto Hub,BS-VI
PUC-2026-469,MH12AB0435,2026-06-03,North Delhi Testing,BS-IV
PUC-2026-470,DL01IJ0142,2026-09-25,Gurugram Auto Hub,BS-VI
PUC-2026-471,DL05CD0103,2026-06-07,Gurugram Auto Hub,BS-VI
PUC-2026-472,DL05CD0247,2027-02-09,Noida Inspection Point,BS-VI
PUC-2026-473,DL01IJ0164,2026-11-14,North Delhi Testing,BS-VI
PUC-2026-474,MH12EF0525,2026-10-19,Noida Inspection Point,BS-VI
PUC-2026-475,UP16IJ0298,2027-01-04,Gurugram Auto Hub,BS-VI
PUC-2026-476,HR26AB0550,2027-03-18,Gurugram Auto Hub,BS-VI
PUC-2026-477,HR26AB0106,2026-09-29,South Delhi Center,BS-VI
PUC-2026-478,UP16GH0449,2027-03-25,South Delhi Center,BS-IV
PUC-2026-479,HR26EF0269,2027-04-09,Noida Inspection Point,BS-IV
PUC-2026-480,DL01GH0221,2027-06-10,North Delhi Testing,BS-IV
PUC-2026-481,UP16IJ0561,2027-01-24,South Delhi Center,BS-VI
PUC-2026-482,MH12AB0323,2026-12-18,North Delhi Testing,BS-IV
PUC-2026-483,HR26AB0207,2026-11-18,South Delhi Center,BS-VI
PUC-2026-484,DL01AB0117,2027-02-26,South Delhi Center,BS-IV
PUC-2026-485,DL01IJ0272,2026-06-19,South Delhi Center,BS-IV
PUC-2026-486,HR26GH0233,2027-02-01,South Delhi Center,BS-IV
PUC-2026-487,UP16GH0317,2026-12-16,Gurugram Auto Hub,BS-IV
PUC-2026-488,HR26CD0283,2027-03-18,Noida Inspection Point,BS-VI
PUC-2026-489,HR26IJ0532,2027-04-30,North Delhi Testing,BS-VI
PUC-2026-490,MH12AB0177,2027-03-09,Gurugram Auto Hub,BS-VI
PUC-2026-491,MH12CD0314,2027-01-12,North Delhi Testing,BS-IV
PUC-2026-492,MH12IJ0066,2026-07-20,Noida Inspection Point,BS-IV
PUC-2026-493,UP16EF0135,2026-10-22,Gurugram Auto Hub,BS-VI
PUC-2026-494,DL01EF0586,2026-09-16,North Delhi Testing,BS-IV
PUC-2026-495,DL01IJ0398,2027-01-17,Gurugram Auto Hub,BS-IV
PUC-2026-496,DL05IJ0044,2027-04-02,Gurugram Auto Hub,BS-IV
PUC-2026-497,DL05AB0074,2026-05-30,North Delhi Testing,BS-VI
PUC-2026-498,DL05IJ0526,2026-11-28,South Delhi Center,BS-VI
PUC-2026-499,UP16IJ0042,2026-08-17,North Delhi Testing,BS-IV
PUC-2026-500,UP16IJ0133,2027-04-08,North Delhi Testing,BS-IV
PUC-2026-501,HR26EF0101,2026-06-10,South Delhi Center,BS-IV
PUC-2026-502,MH12EF0600,2027-01-18,South Delhi Center,BS-IV
PUC-2026-503,UP16EF0374,2026-11-30,Noida Inspection Point,BS-IV
PUC-2026-504,DL05EF0148,2027-03-25,Gurugram Auto Hub,BS-IV
PUC-2026-505,MH12EF0397,2027-04-09,Gurugram Auto Hub,BS-IV
PUC-2026-506,DL01AB0551,2026-07-28,North Delhi Testing,BS-IV
PUC-2026-507,DL01EF0260,2027-06-15,Gurugram Auto Hub,BS-VI
PUC-2026-508,DL01EF0557,2027-02-03,North Delhi Testing,BS-IV
PUC-2026-509,HR26CD0081,2027-05-25,Noida Inspection Point,BS-VI
PUC-2026-510,HR26GH0468,2027-04-24,Gurugram Auto Hub,BS-VI
PUC-2026-511,DL01GH0055,2027-03-16,Gurugram Auto Hub,BS-IV
PUC-2026-512,DL05GH0445,2026-06-10,Gurugram Auto Hub,BS-IV
PUC-2026-513,DL05GH0538,2027-05-01,Noida Inspection Point,BS-VI
PUC-2026-514,DL05CD0536,2026-07-16,North Delhi Testing,BS-VI
PUC-2026-515,DL01AB0515,2026-06-29,North Delhi Testing,BS-VI
PUC-2026-516,HR26EF0348,2027-05-13,North Delhi Testing,BS-IV
PUC-2026-517,DL01AB0053,2027-01-15,Gurugram Auto Hub,BS-IV
PUC-2026-518,UP16EF0045,2027-03-18,Gurugram Auto Hub,BS-IV
PUC-2026-519,HR26EF0151,2026-06-04,North Delhi Testing,BS-VI
PUC-2026-001,DL01AB1234,2027-01-10,South Delhi Center,BS-VI
PUC-2026-002,DL05CD9876,2026-05-15,North Delhi Testing,BS-IV
PUC-2026-003,HR26EF4455,2026-11-20,Gurugram Auto Hub,BS-VI
PUC-2026-004,UP16GH1122,2027-02-28,Noida Inspection Point,BS-VI
