true_plate,true_make,true_model,true_colour,reg_status
HR26CD0489,Tata,Punch,Red,ACTIVE
UP16IJ0490,Maruti Suzuki,Swift,Grey,ACTIVE
MH12EF0491,Tata,Punch,White,ACTIVE
UP16GH0492,Maruti Suzuki,Baleno,Silver,ACTIVE
DL05EF0493,Tata,Nexon,Grey,ACTIVE
UP16EF0494,Maruti Suzuki,Baleno,Silver,ACTIVE
UP16CD0495,Mahindra,XUV700,White,ACTIVE
HR26IJ0496,Hyundai,Creta,White,ACTIVE
DL05GH0497,Maruti Suzuki,Baleno,Grey,ACTIVE
DL01EF0498,Kia,Seltos,White,ACTIVE
DL05AB0499,Honda,City,Black,ACTIVE
UP16IJ0500,Kia,Seltos,Grey,ACTIVE
DL05AB0501,Tata,Punch,Black,ACTIVE
UP16IJ0502,Tata,Nexon,Black,ACTIVE
HR26EF0503,Honda,City,Blue,ACTIVE
MH12GH0504,Toyota,Innova,Grey,ACTIVE
DL05GH0505,Hyundai,Creta,Blue,ACTIVE
UP16AB0506,Hyundai,Creta,Blue,ACTIVE
DL05GH0507,Kia,Seltos,Blue,ACTIVE
UP16IJ0508,Tata,Nexon,Red,ACTIVE
DL05CD0509,Toyota,Innova,White,ACTIVE
HR26IJ0510,Honda,City,Blue,ACTIVE
DL01EF0511,Hyundai,i20,Blue,ACTIVE
UP16IJ0512,Mahindra,XUV700,Silver,ACTIVE
DL01CD0513,Honda,City,Black,ACTIVE
DL01AB0514,Maruti Suzuki,Baleno,Grey,ACTIVE
DL01AB0515,Tata,Punch,White,ACTIVE
DL01IJ0516,Kia,Seltos,Blue,ACTIVE
DL01EF0517,Kia,Seltos,Red,ACTIVE
HR26AB0518,Maruti Suzuki,Baleno,Silver,ACTIVE
UP16AB0519,Mahindra,XUV700,Red,ACTIVE
DL05IJ0520,Tata,Nexon,Silver,ACTIVE
UP16AB0521,Hyundai,i20,Red,ACTIVE
HR26GH0522,Maruti Suzuki,Swift,Black,ACTIVE
MH12GH0523,Mahindra,XUV700,Black,SUSPENDED
UP16AB0524,Hyundai,i20,Grey,ACTIVE
MH12EF0525,Hyundai,i20,Blue,ACTIVE
DL05IJ0526,Maruti Suzuki,Swift,Red,ACTIVE
HR26EF0527,Maruti Suzuki,Swift,White,ACTIVE
MH12IJ0528,Mahindra,XUV700,Red,ACTIVE
UP16AB0529,Hyundai,Creta,Silver,ACTIVE
HR26EF0530,Hyundai,i20,Grey,SUSPENDED
DL01AB0531,Maruti Suzuki,Baleno,Grey,ACTIVE
HR26IJ0532,Kia,Seltos,Silver,ACTIVE
DL01CD0533,Tata,Nexon,Red,ACTIVE
HR26IJ0534,Mahindra,XUV700,Silver,CANCELLED
UP16IJ0535,Maruti Suzuki,Baleno,Blue,ACTIVE
DL05CD0536,Maruti Suzuki,Baleno,Grey,SUSPENDED
MH12AB0537,Mahindra,XUV700,Silver,ACTIVE
DL05GH0538,Tata,Nexon,White,ACTIVE
DL05IJ0539,Maruti Suzuki,Swift,Silver,SUSPENDED
DL05CD0540,Honda,City,Silver,ACTIVE
DL01EF0541,Kia,Seltos,Silver,ACTIVE
UP16CD0542,Kia,Seltos,Black,ACTIVE
MH12EF0543,Tata,Nexon,Red,ACTIVE
UP16GH0544,Kia,Seltos,Silver,ACTIVE
UP16GH0545,Tata,Nexon,Blue,ACTIVE
UP16EF0546,Hyundai,i20,Red,ACTIVE
UP16GH0547,Maruti Suzuki,Swift,Red,ACTIVE
DL01IJ0548,Tata,Nexon,White,ACTIVE
DL05GH0549,Kia,Seltos,White,ACTIVE
HR26AB0550,Hyundai,Creta,Black,ACTIVE
DL01AB0551,Maruti Suzuki,Swift,Silver,ACTIVE
DL05GH0552,Hyundai,i20,Blue,ACTIVE
HR26AB0553,Mahindra,XUV700,Blue,ACTIVE
DL05EF0554,Mahindra,XUV700,Black,ACTIVE
DL01IJ0555,Tata,Nexon,Black,SUSPENDED
HR26EF0556,Honda,City,Blue,SUSPENDED
DL01EF0557,Toyota,Innova,Silver,SUSPENDED
MH12EF0558,Maruti Suzuki,Baleno,Blue,ACTIVE
HR26AB0559,Honda,City,Red,ACTIVE
HR26IJ0560,Maruti Suzuki,Swift,Red,ACTIVE
UP16IJ0561,Maruti Suzuki,Swift,Blue,ACTIVE
HR26EF0562,Toyota,Innova,Silver,ACTIVE
DL05AB0563,Honda,City,Silver,ACTIVE
MH12AB0564,Kia,Seltos,White,ACTIVE
DL01IJ0565,Hyundai,i20,White,ACTIVE
DL01IJ0566,Maruti Suzuki,Swift,Grey,ACTIVE
DL01CD0567,Maruti Suzuki,Baleno,White,ACTIVE
HR26GH0568,Kia,Seltos,Black,ACTIVE
MH12EF0569,Maruti Suzuki,Swift,Black,ACTIVE
DL01AB0570,Honda,City,Grey,SUSPENDED
HR26IJ0571,Tata,Punch,Black,ACTIVE
UP16IJ0572,Maruti Suzuki,Swift,Red,ACTIVE
MH12GH0573,Mahindra,XUV700,Black,ACTIVE
UP16GH0574,Tata,Punch,Grey,ACTIVE
DL01GH0575,Honda,City,Grey,ACTIVE
HR26EF0576,Hyundai,i20,Blue,ACTIVE
DL05AB0577,Mahindra,XUV700,Blue,ACTIVE
DL01GH0578,Maruti Suzuki,Baleno,Silver,ACTIVE
UP16GH0579,Tata,Punch,Silver,ACTIVE
DL05GH0580,Maruti Suzuki,Baleno,Blue,ACTIVE
DL01EF0581,Hyundai,Creta,White,ACTIVE
DL05GH0582,Maruti Suzuki,Swift,Black,ACTIVE
UP16GH0583,Maruti Suzuki,Baleno,Red,ACTIVE
DL01GH0584,Hyundai,Creta,Red,ACTIVE
MH12EF0585,Toyota,Innova,White,ACTIVE
DL01EF0586,Hyundai,i20,Red,ACTIVE
HR26IJ0587,Toyota,Innova,Blue,ACTIVE
DL01CD0588,Hyundai,i20,Black,ACTIVE
UP16CD0589,Tata,Nexon,Blue,ACTIVE
DL01GH0590,Maruti Suzuki,Baleno,Black,CANCELLED
DL05GH0591,Hyundai,Creta,Grey,ACTIVE
UP16CD0592,Kia,Seltos,White,SUSPENDED
MH12GH0593,Hyundai,i20,Blue,ACTIVE
HR26EF0594,Tata,Nexon,Black,ACTIVE
MH12GH0595,Maruti Suzuki,Swift,Grey,ACTIVE
MH12GH0596,Kia,Seltos,White,ACTIVE
HR26AB0597,Tata,Punch,Red,ACTIVE
DL01CD0598,Kia,Seltos,Black,ACTIVE
DL01GH0599,Toyota,Innova,Black,ACTIVE
MH12EF0600,Tata,Punch,Blue,ACTIVE
