plate_number,expected_decision,expected_confidence,basis
HR26AB0249,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-09-02, never seen by a camera"
DL05EF0250,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-07, seen by camera 2026-07-15T02:00:00"
HR26AB0251,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-06-29, never seen by a camera"
DL05IJ0252,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-10, seen by camera 2026-08-19T17:00:00"
UP16EF0253,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-28
UP16AB0254,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-21, seen by camera 2026-08-20T12:00:00"
UP16EF0255,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-01, seen by camera 2026-08-29T21:00:00"
HR26AB0256,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12IJ0257,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-03, seen by camera 2026-08-06T14:00:00"
DL05GH0258,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01EF0259,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-05, seen by camera 2026-08-14T10:00:00"
DL01EF0260,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-28
DL01GH0261,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-02, seen by camera 2026-08-17T12:00:00"
DL01AB0262,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-05, seen by camera 2026-07-09T07:00:00"
DL05GH0263,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-26
DL01GH0264,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12GH0265,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-18, seen by camera 2026-08-21T07:00:00"
DL05IJ0266,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-29, seen by camera 2026-09-01T23:00:00"
HR26AB0267,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-02, seen by camera 2026-08-05T11:00:00"
UP16AB0268,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-16, seen by camera 2026-07-13T11:00:00"
HR26EF0269,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-07-19, never seen by a camera"
DL01AB0270,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-13, seen by camera 2026-07-30T08:00:00"
UP16EF0271,UNINSURED — REPORT,HIGH,latest policy ended 2026-07-10
DL01IJ0272,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-16, seen by camera 2026-08-27T01:00:00"
DL05AB0273,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-26, seen by camera 2026-07-23T16:00:00"
MH12GH0274,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-22, seen by camera 2026-07-28T19:00:00"
MH12GH0275,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-05, seen by camera 2026-07-30T21:00:00"
DL05CD0276,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-17, seen by camera 2026-08-13T06:00:00"
MH12EF0277,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-09
DL01EF0278,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-16, seen by camera 2026-08-21T18:00:00"
MH12CD0279,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
MH12AB0280,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16EF0281,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-06, seen by camera 2026-08-05T00:00:00"
DL05CD0282,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-07, seen by camera 2026-08-05T02:00:00"
HR26CD0283,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-28
MH12GH0284,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01AB0285,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-24, seen by camera 2026-08-30T09:00:00"
MH12GH0286,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-13, seen by camera 2026-08-19T18:00:00"
MH12AB0287,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-23, seen by camera 2026-08-29T17:00:00"
DL01EF0288,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01IJ0289,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-03, seen by camera 2026-08-27T23:00:00"
DL01IJ0290,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-03-16, never seen by a camera"
HR26EF0291,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-02, seen by camera 2026-07-26T12:00:00"
DL05CD0292,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-09-02, seen by camera 2026-08-03T14:00:00"
HR26AB0293,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-21, seen by camera 2026-08-23T08:00:00"
DL05EF0294,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-08, seen by camera 2026-07-26T01:00:00"
DL01AB0295,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-06-10, never seen by a camera"
UP16CD0296,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-13, seen by camera 2026-08-26T22:00:00"
DL01EF0297,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-03, seen by camera 2026-08-14T11:00:00"
UP16IJ0298,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-12, seen by camera 2026-07-12T18:00:00"
MH12EF0299,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-06, seen by camera 2026-08-27T12:00:00"
HR26CD0300,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-04
UP16EF0301,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-25
HR26CD0302,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL01EF0303,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-05, seen by camera 2026-08-23T19:00:00"
UP16GH0304,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL01IJ0305,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-23
DL05CD0306,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-02, seen by camera 2026-09-03T11:00:00"
MH12CD0307,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-16, seen by camera 2026-08-13T00:00:00"
DL05EF0308,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-02-11, never seen by a camera"
DL05IJ0309,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-02, seen by camera 2026-08-16T06:00:00"
HR26EF0310,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-30, seen by camera 2026-07-30T04:00:00"
MH12IJ0311,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-08, seen by camera 2026-08-25T07:00:00"
HR26CD0312,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-20, seen by camera 2026-08-20T05:00:00"
MH12IJ0313,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12CD0314,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model"
HR26EF0315,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05EF0316,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-23
UP16GH0317,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-16, seen by camera 2026-07-29T17:00:00"
DL01AB0318,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-07, never seen by a camera"
MH12CD0319,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-06, seen by camera 2026-08-12T09:00:00"
UP16GH0320,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-17, never seen by a camera"
UP16EF0321,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-30
HR26IJ0322,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-16, seen by camera 2026-08-19T16:00:00"
MH12AB0323,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12EF0324,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-06, seen by camera 2026-07-15T13:00:00"
DL05AB0325,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-19, seen by camera 2026-07-25T11:00:00"
DL01AB0326,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-05-13, never seen by a camera"
DL05IJ0327,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-25
DL01CD0328,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26CD0329,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-15, seen by camera 2026-07-28T17:00:00"
HR26AB0330,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-16, seen by camera 2026-08-04T00:00:00"
UP16AB0331,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL05IJ0332,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-27, seen by camera 2026-08-06T17:00:00"
DL05CD0333,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
UP16GH0334,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
UP16AB0335,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-11-17, never seen by a camera"
MH12IJ0336,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-05, seen by camera 2026-09-03T23:00:00"
HR26CD0337,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-03, seen by camera 2026-09-04T12:00:00"
DL05AB0338,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-03, seen by camera 2026-07-19T08:00:00"
DL05AB0339,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-27
UP16CD0340,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-12, seen by camera 2026-07-13T00:00:00"
DL05IJ0341,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-06, seen by camera 2026-08-12T18:00:00"
DL05AB0342,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-08, seen by camera 2026-08-18T21:00:00"
UP16CD0343,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-27, seen by camera 2026-08-06T11:00:00"
MH12EF0344,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-30, seen by camera 2026-07-18T09:00:00"
HR26GH0345,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-22, seen by camera 2026-08-27T22:00:00"
UP16EF0346,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-01, seen by camera 2026-07-28T05:00:00"
DL05EF0347,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
HR26EF0348,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01EF0349,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-10, seen by camera 2026-07-21T08:00:00"
UP16IJ0350,UNINSURED — REPORT,HIGH,latest policy ended 2026-07-23
UP16GH0351,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-19, seen by camera 2026-09-03T03:00:00"
DL01CD0352,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-02, seen by camera 2026-08-25T21:00:00"
UP16AB0353,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-17
DL01CD0354,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-10, seen by camera 2026-08-02T22:00:00"
UP16CD0355,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-18, seen by camera 2026-07-24T00:00:00"
MH12CD0356,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-01-28, never seen by a camera"
UP16EF0357,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-04, never seen by a camera"
MH12GH0358,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01AB0359,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-04
UP16IJ0360,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-30, seen by camera 2026-07-25T14:00:00"
UP16AB0361,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-06
DL05GH0362,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-28, never seen by a camera"
UP16AB0363,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-23, seen by camera 2026-08-06T12:00:00"
HR26EF0364,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-28, seen by camera 2026-09-01T08:00:00"
UP16CD0365,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-16
HR26CD0366,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-21, seen by camera 2026-08-28T03:00:00"
DL05IJ0367,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16GH0368,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-20, seen by camera 2026-09-04T09:00:00"
HR26IJ0369,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-29, seen by camera 2026-08-12T21:00:00"
DL01EF0370,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-14, seen by camera 2026-08-22T20:00:00"
DL01AB0371,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
MH12CD0372,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-10, seen by camera 2026-08-29T19:00:00"
HR26EF0373,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-03, seen by camera 2026-08-25T19:00:00"
UP16EF0374,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-18
UP16IJ0375,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
UP16IJ0376,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-23, seen by camera 2026-07-18T10:00:00"
DL01AB0377,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-23, seen by camera 2026-08-23T05:00:00"
HR26EF0378,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-15, seen by camera 2026-08-05T22:00:00"
UP16GH0379,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-23, seen by camera 2026-07-09T12:00:00"
UP16GH0380,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-20, seen by camera 2026-08-16T13:00:00"
DL05AB0381,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-01, seen by camera 2026-08-30T07:00:00"
HR26EF0382,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-05, seen by camera 2026-08-10T11:00:00"
UP16EF0383,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16EF0384,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-28, seen by camera 2026-07-31T19:00:00"
HR26AB0385,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-28, seen by camera 2026-07-05T19:00:00"
DL05CD0386,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-14
MH12GH0387,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-28, seen by camera 2026-08-28T05:00:00"
DL05IJ0388,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-27, seen by camera 2026-09-04T12:00:00"
MH12IJ0389,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12CD0390,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-19, seen by camera 2026-07-11T19:00:00"
UP16CD0391,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-23
UP16CD0392,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01IJ0393,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-27, seen by camera 2026-08-12T14:00:00"
HR26AB0394,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-23, seen by camera 2026-08-26T21:00:00"
MH12EF0395,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-07
MH12IJ0396,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
MH12EF0397,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-10, seen by camera 2026-07-20T19:00:00"
DL01IJ0398,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
HR26GH0399,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-14
UP16EF0400,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-16
HR26IJ0401,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
UP16IJ0402,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-07
DL01CD0403,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-13, seen by camera 2026-08-16T00:00:00"
DL05AB0404,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-29
UP16AB0405,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL01CD0406,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-19, seen by camera 2026-07-22T15:00:00"
MH12GH0407,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-31, seen by camera 2026-08-12T12:00:00"
MH12AB0408,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-16, seen by camera 2026-09-03T04:00:00"
HR26AB0409,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-29, seen by camera 2026-09-01T17:00:00"
MH12CD0410,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-08
HR26GH0411,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-22, seen by camera 2026-09-01T19:00:00"
DL05GH0412,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16AB0413,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01EF0414,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-09, seen by camera 2026-08-30T05:00:00"
HR26GH0415,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-23, seen by camera 2026-08-13T01:00:00"
UP16IJ0416,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12IJ0417,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
UP16IJ0418,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01GH0419,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-31, seen by camera 2026-08-24T18:00:00"
DL05AB0420,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-07-28
DL05CD0421,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-28
DL05AB0422,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-12, seen by camera 2026-08-15T14:00:00"
MH12CD0423,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12AB0424,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-26, seen by camera 2026-08-29T17:00:00"
UP16IJ0425,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-02, seen by camera 2026-08-23T05:00:00"
DL01IJ0426,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-23, seen by camera 2026-07-19T04:00:00"
DL05IJ0427,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-09-01, seen by camera 2026-08-31T00:00:00"
MH12CD0428,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-22, seen by camera 2026-08-11T04:00:00"
DL01GH0429,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-10, seen by camera 2026-08-08T09:00:00"
UP16IJ0430,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-20, seen by camera 2026-08-13T17:00:00"
DL01IJ0431,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-29, never seen by a camera"
MH12EF0432,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-05, seen by camera 2026-08-04T17:00:00"
UP16EF0433,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-11-22, never seen by a camera"
UP16AB0434,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-13, seen by camera 2026-08-16T02:00:00"
MH12AB0435,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-13, seen by camera 2026-08-07T05:00:00"
DL05CD0436,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-06, seen by camera 2026-07-20T05:00:00"
DL01EF0437,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-15, seen by camera 2026-08-29T22:00:00"
UP16CD0438,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL01GH0439,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-15, seen by camera 2026-07-31T09:00:00"
DL05CD0440,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-06, seen by camera 2026-08-07T18:00:00"
HR26IJ0441,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-23, seen by camera 2026-07-24T20:00:00"
DL05CD0442,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-25, seen by camera 2026-08-15T12:00:00"
HR26IJ0443,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-29
UP16CD0444,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-04-27, never seen by a camera"
DL05GH0445,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01EF0446,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01IJ0447,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-25, seen by camera 2026-07-17T01:00:00"
DL05GH0448,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-03, seen by camera 2026-08-30T13:00:00"
UP16GH0449,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-19, seen by camera 2026-08-29T22:00:00"
DL05CD0450,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-08-03
UP16GH0451,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-17, seen by camera 2026-08-28T17:00:00"
MH12EF0452,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-06, seen by camera 2026-08-26T03:00:00"
UP16GH0453,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
HR26AB0454,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-31
DL05EF0455,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12AB0456,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-20, seen by camera 2026-08-19T07:00:00"
DL05GH0457,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-15
MH12GH0458,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-31, seen by camera 2026-08-25T15:00:00"
UP16AB0459,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-01, seen by camera 2026-08-31T07:00:00"
DL01EF0460,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-06, seen by camera 2026-08-31T17:00:00"
DL05EF0461,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-13, seen by camera 2026-09-01T15:00:00"
DL05CD0462,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05EF0463,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-03-19, never seen by a camera"
UP16CD0464,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-15, seen by camera 2026-09-02T02:00:00"
DL05GH0465,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-01, seen by camera 2026-08-07T01:00:00"
DL05IJ0466,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-06, seen by camera 2026-08-29T01:00:00"
HR26CD0467,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-16, seen by camera 2026-08-15T09:00:00"
HR26GH0468,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-14, seen by camera 2026-08-30T04:00:00"
UP16IJ0469,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-05, seen by camera 2026-08-03T10:00:00"
MH12CD0470,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16AB0471,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-05-09, never seen by a camera"
HR26IJ0472,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-31, seen by camera 2026-07-16T04:00:00"
UP16EF0473,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01EF0474,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-06-15, never seen by a camera"
HR26CD0475,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
MH12CD0476,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-09, seen by camera 2026-07-25T06:00:00"
HR26AB0477,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-28, seen by camera 2026-08-10T02:00:00"
HR26CD0478,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-18
HR26EF0479,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-27, seen by camera 2026-08-09T22:00:00"
UP16IJ0480,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
MH12AB0481,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-31, seen by camera 2026-08-07T15:00:00"
MH12GH0482,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-20, seen by camera 2026-07-17T08:00:00"
HR26CD0483,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-18, seen by camera 2026-09-03T18:00:00"
UP16AB0484,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
HR26CD0485,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-09, seen by camera 2026-08-31T10:00:00"
UP16CD0486,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-09, seen by camera 2026-07-30T19:00:00"
MH12CD0487,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-21, seen by camera 2026-08-04T11:00:00"
UP16IJ0488,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-18, seen by camera 2026-08-03T16:00:00"
HR26CD0489,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-20, seen by camera 2026-07-11T12:00:00"
UP16IJ0490,UNINSURED — REPORT,HIGH,latest policy ended 2026-05-03
MH12EF0491,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16GH0492,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-04, never seen by a camera"
DL05EF0493,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-17, seen by camera 2026-07-25T07:00:00"
UP16EF0494,UNINSURED — REPORT,HIGH,latest policy ended 2026-02-19
UP16CD0495,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26IJ0496,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on model, colour"
DL05GH0497,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-13, seen by camera 2026-08-22T15:00:00"
DL01EF0498,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL05AB0499,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16IJ0500,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-30, seen by camera 2026-08-14T19:00:00"
DL05AB0501,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-06, seen by camera 2026-07-15T07:00:00"
UP16IJ0502,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-01-02, never seen by a camera"
HR26EF0503,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-21, seen by camera 2026-08-29T05:00:00"
MH12GH0504,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
